,Np,Vp,Tpr,alpha_ratio,VGSE_x,VGSE_y,VGSE_z,VGSM_x,VGSM_y,VGSM_z
2017-10-11 00:00:00,13.4315,-1e+31,44158.4,0.0177,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-11 00:01:00,13.2861,359.2,44240.5,0.0177,-357.856,-18.99,-24.485,-357.856,-24.608,-20.332
2017-10-11 00:02:00,13.4352,364.17,44260.2,0.0187,-362.744,-22.52,-23.009,-362.744,-27.713,-18.086
2017-10-11 00:03:00,13.9521,363.56,39476.8,0.0195,-361.968,-22.405,-25.592,-361.968,-28.209,-20.631
2017-10-11 00:04:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-11 00:05:00,13.3279,365.42,51601.4,0.0187,-363.996,-21.822,-23.716,-363.996,-27.232,-18.949
2017-10-11 00:06:00,13.3728,363.46,43053.5,0.0182,-362.01,-21.893,-23.974,-362.01,-27.372,-19.187
2017-10-11 00:07:00,11.6634,362.56,37906.6,0.0189,-361.191,-20.176,-24.165,-361.191,-25.758,-19.776
2017-10-11 00:08:00,14.0318,363.39,45666.7,0.014,-362.102,-21.328,-21.889,-362.102,-26.361,-17.299
2017-10-11 00:09:00,14.2969,363.21,49685.6,0.0145,-361.933,-19.372,-23.549,-361.933,-24.857,-19.373
2017-10-11 00:10:00,14.1971,363.45,45672.7,0.018,-362.277,-18.891,-22.183,-362.277,-24.082,-18.161
2017-10-11 00:11:00,13.7419,368.63,47467.2,0.0219,-367.38,-22.625,-20.104,-367.38,-27.24,-15.273
2017-10-11 00:12:00,15.6092,363.46,51914.0,0.0205,-362.431,-13.045,-23.99,-362.431,-18.843,-21.293
2017-10-11 00:13:00,16.1097,371.34,54783.8,0.0198,-370.217,-18.365,-22.232,-370.217,-23.618,-18.345
2017-10-11 00:14:00,13.8356,369.95,51392.0,0.0208,-368.707,-20.54,-22.308,-368.707,-25.762,-17.915
2017-10-11 00:15:00,,,,,,,,,,
2017-10-11 00:16:00,14.0851,365.45,53837.5,0.0284,-364.344,-9.53,-26.72,-364.344,-16.105,-24.788
2017-10-11 00:17:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-11 00:18:00,14.724,373.89,66912.7,0.0243,-373.635,-13.722,-0.899,-373.635,-14.138,1.281
2017-10-11 00:19:00,14.8,376.05,51043.6,0.0209,-375.698,-15.923,-3.057,-375.698,-16.791,-0.305
2017-10-11 00:20:00,14.4349,371.54,55247.4,0.0242,-371.268,-10.176,-9.943,-371.268,-12.836,-8.358
2017-10-11 00:21:00,13.9333,370.54,56533.8,0.0234,-370.195,-12.481,-10.08,-370.195,-15.117,-7.954
2017-10-11 00:22:00,14.4481,370.68,50361.7,0.0213,-370.352,-11.584,-10.327,-370.352,-14.312,-8.413
2017-10-11 00:23:00,13.7909,373.32,51784.1,-1e+31,-373.042,-12.149,-7.645,-373.042,-14.236,-5.68
2017-10-11 00:24:00,14.6388,375.59,65443.0,0.0315,-375.467,-9.425,1.435,-375.467,-9.446,2.489
2017-10-11 00:25:00,16.1796,375.09,65497.6,0.0323,-375.035,-6.199,1.01,-375.035,-6.419,1.303
2017-10-11 00:26:00,16.7158,375.17,65742.2,0.0337,-375.12,-5.09,2.792,-375.12,-4.924,2.76
