,BX_GSE,BY_GSE,BZ_GSE,Mach_num,Mgs_mach_num,PR-FLX_10,PR-FLX_30,PR-FLX_60,proton_density,flow_speed,Vx,Vy,Vz
2017-10-01 00:00:00,1.03,2.57,-3.65,13.4,7.4,0.17,0.1,0.06,6.58,490.0,-488.9,-32.6,-4.8
2017-10-01 00:01:00,,,,,,,,,,,,,
2017-10-01 00:02:00,,,,,,,,,,,,,
2017-10-01 00:03:00,,,,,,,,,,,,,
2017-10-01 00:04:00,,,,,,,,,,,,,
2017-10-01 00:05:00,0.86,3.29,-2.96,13.3,7.4,0.14,0.09,0.06,6.32,488.6,-487.3,-34.4,-4.1
2017-10-01 00:06:00,,,,,,,,,,,,,
2017-10-01 00:07:00,,,,,,,,,,,,,
2017-10-01 00:08:00,,,,,,,,,,,,,
2017-10-01 00:09:00,,,,,,,,,,,,,
2017-10-01 00:10:00,1.88,1.75,-3.1,15.4,7.7,0.12,0.07,0.05,6.62,488.4,-487.7,-26.6,-4.1
2017-10-01 00:11:00,,,,,,,,,,,,,
2017-10-01 00:12:00,,,,,,,,,,,,,
2017-10-01 00:13:00,,,,,,,,,,,,,
2017-10-01 00:14:00,,,,,,,,,,,,,
2017-10-01 00:15:00,2.62,1.53,-3.46,13.9,7.7,0.17,0.1,0.07,6.81,491.2,-490.2,-30.1,-2.9
2017-10-01 00:16:00,,,,,,,,,,,,,
2017-10-01 00:17:00,,,,,,,,,,,,,
2017-10-01 00:18:00,,,,,,,,,,,,,
2017-10-01 00:19:00,,,,,,,,,,,,,
2017-10-01 00:20:00,2.66,1.21,-3.25,14.3,7.8,0.13,0.09,0.07,6.66,491.7,-490.9,-28.7,-2.4
2017-10-01 00:21:00,,,,,,,,,,,,,
2017-10-01 00:22:00,,,,,,,,,,,,,
2017-10-01 00:23:00,,,,,,,,,,,,,
2017-10-01 00:24:00,,,,,,,,,,,,,
2017-10-01 00:25:00,2.93,0.43,-3.22,14.4,7.8,0.12,0.07,0.05,6.63,491.7,-491.0,-23.5,-3.1
2017-10-01 00:26:00,,,,,,,,,,,,,
2017-10-01 00:27:00,,,,,,,,,,,,,
2017-10-01 00:28:00,,,,,,,,,,,,,
2017-10-01 00:29:00,,,,,,,,,,,,,
2017-10-01 00:30:00,2.93,0.93,-3.2,14.2,7.7,0.15,0.1,0.08,6.48,492.1,-491.3,-28.2,-1.2
2017-10-01 00:31:00,,,,,,,,,,,,,
2017-10-01 00:32:00,,,,,,,,,,,,,
2017-10-01 00:33:00,,,,,,,,,,,,,
2017-10-01 00:34:00,,,,,,,,,,,,,
2017-10-01 00:35:00,2.5,1.55,-3.18,14.3,7.7,0.15,0.1,0.07,6.47,488.8,-487.8,-30.9,-2.7
2017-10-01 00:36:00,,,,,,,,,,,,,
2017-10-01 00:37:00,,,,,,,,,,,,,
2017-10-01 00:38:00,,,,,,,,,,,,,
2017-10-01 00:39:00,,,,,,,,,,,,,
2017-10-01 00:40:00,2.43,1.62,-3.08,14.9,7.7,0.15,0.1,0.09,6.71,488.5,-487.3,-33.3,-5.0
2017-10-01 00:41:00,,,,,,,,,,,,,
2017-10-01 00:42:00,,,,,,,,,,,,,
2017-10-01 00:43:00,,,,,,,,,,,,,
2017-10-01 00:44:00,,,,,,,,,,,,,
2017-10-01 00:45:00,3.05,0.38,-2.69,15.0,7.8,0.21,0.12,0.08,6.71,488.5,-487.3,-33.3,-5.0
2017-10-01 00:46:00,,,,,,,,,,,,,
2017-10-01 00:47:00,,,,,,,,,,,,,
2017-10-01 00:48:00,,,,,,,,,,,,,
2017-10-01 00:49:00,,,,,,,,,,,,,
2017-10-01 00:50:00,3.13,0.22,-2.82,14.7,7.7,0.14,0.09,0.07,6.5,490.3,-489.5,-26.8,-5.2
2017-10-01 00:51:00,,,,,,,,,,,,,
2017-10-01 00:52:00,,,,,,,,,,,,,
2017-10-01 00:53:00,,,,,,,,,,,,,
2017-10-01 00:54:00,,,,,,,,,,,,,
2017-10-01 00:55:00,2.93,0.7,-3.03,999.9,99.9,0.17,0.13,0.07,999.99,99999.9,99999.9,99999.9,99999.9
2017-10-01 00:56:00,,,,,,,,,,,,,
2017-10-01 00:57:00,,,,,,,,,,,,,
2017-10-01 00:58:00,,,,,,,,,,,,,
2017-10-01 00:59:00,,,,,,,,,,,,,
2017-10-01 01:00:00,2.2,0.88,-2.36,14.4,7.7,0.12,0.08,0.05,6.5,491.8,-491.0,-28.1,-5.5
2017-10-01 01:01:00,,,,,,,,,,,,,
2017-10-01 01:02:00,,,,,,,,,,,,,
2017-10-01 01:03:00,,,,,,,,,,,,,
2017-10-01 01:04:00,,,,,,,,,,,,,
2017-10-01 01:05:00,3.44,1.07,-1.58,14.8,7.6,0.14,0.06,0.05,6.27,493.3,-492.4,-27.7,-9.5
2017-10-01 01:06:00,,,,,,,,,,,,,
2017-10-01 01:07:00,,,,,,,,,,,,,
2017-10-01 01:08:00,,,,,,,,,,,,,
2017-10-01 01:09:00,,,,,,,,,,,,,
2017-10-01 01:10:00,2.54,1.28,-2.55,15.0,7.6,0.18,0.07,0.05,6.25,487.9,-486.9,-29.4,-6.3
2017-10-01 01:11:00,,,,,,,,,,,,,
2017-10-01 01:12:00,,,,,,,,,,,,,
2017-10-01 01:13:00,,,,,,,,,,,,,
2017-10-01 01:14:00,,,,,,,,,,,,,
2017-10-01 01:15:00,1.87,1.19,-1.8,18.5,7.7,0.18,0.09,0.08,6.31,482.8,-481.9,-27.8,-10.2
2017-10-01 01:16:00,,,,,,,,,,,,,
2017-10-01 01:17:00,,,,,,,,,,,,,
2017-10-01 01:18:00,,,,,,,,,,,,,
2017-10-01 01:19:00,,,,,,,,,,,,,
2017-10-01 01:20:00,-1.88,1.19,0.08,13.5,7.1,0.21,0.09,0.08,5.02,470.8,-469.8,-26.4,-15.1
2017-10-01 01:21:00,,,,,,,,,,,,,
2017-10-01 01:22:00,,,,,,,,,,,,,
2017-10-01 01:23:00,,,,,,,,,,,,,
2017-10-01 01:24:00,,,,,,,,,,,,,
2017-10-01 01:25:00,-1.54,0.85,0.68,20.9,7.5,0.13,0.07,0.06,5.11,475.1,-474.1,-23.1,-18.1
2017-10-01 01:26:00,,,,,,,,,,,,,
2017-10-01 01:27:00,,,,,,,,,,,,,
2017-10-01 01:28:00,,,,,,,,,,,,,
2017-10-01 01:29:00,,,,,,,,,,,,,
2017-10-01 01:30:00,-2.55,-0.26,2.11,16.3,7.0,0.14,0.09,0.06,4.94,471.2,-470.2,-19.7,-22.0
2017-10-01 01:31:00,,,,,,,,,,,,,
2017-10-01 01:32:00,,,,,,,,,,,,,
2017-10-01 01:33:00,,,,,,,,,,,,,
2017-10-01 01:34:00,,,,,,,,,,,,,
2017-10-01 01:35:00,-2.38,-1.52,3.51,10.1,6.3,0.22,0.09,0.05,4.05,466.1,-464.8,-9.6,-34.3
2017-10-01 01:36:00,,,,,,,,,,,,,
2017-10-01 01:37:00,,,,,,,,,,,,,
2017-10-01 01:38:00,,,,,,,,,,,,,
2017-10-01 01:39:00,,,,,,,,,,,,,
2017-10-01 01:40:00,-2.44,-1.92,3.4,10.2,6.4,0.17,0.11,0.07,4.1,465.9,-464.7,-10.3,-29.5
2017-10-01 01:41:00,,,,,,,,,,,,,
2017-10-01 01:42:00,,,,,,,,,,,,,
2017-10-01 01:43:00,,,,,,,,,,,,,
2017-10-01 01:44:00,,,,,,,,,,,,,
2017-10-01 01:45:00,-2.59,-1.74,3.42,10.4,6.4,0.12,0.08,0.06,4.22,467.0,-466.1,-13.2,-25.0
2017-10-01 01:46:00,,,,,,,,,,,,,
2017-10-01 01:47:00,,,,,,,,,,,,,
2017-10-01 01:48:00,,,,,,,,,,,,,
2017-10-01 01:49:00,,,,,,,,,,,,,
2017-10-01 01:50:00,-2.82,-1.69,3.57,9.5,6.3,0.14,0.09,0.06,3.98,464.5,-463.7,-14.3,-24.4
2017-10-01 01:51:00,,,,,,,,,,,,,
2017-10-01 01:52:00,,,,,,,,,,,,,
2017-10-01 01:53:00,,,,,,,,,,,,,
2017-10-01 01:54:00,,,,,,,,,,,,,
2017-10-01 01:55:00,-2.93,-1.08,3.54,10.2,6.4,0.21,0.14,0.11,4.29,464.8,-463.9,-20.0,-22.5
2017-10-01 01:56:00,,,,,,,,,,,,,
2017-10-01 01:57:00,,,,,,,,,,,,,
2017-10-01 01:58:00,,,,,,,,,,,,,
2017-10-01 01:59:00,,,,,,,,,,,,,
2017-10-01 02:00:00,-3.08,-1.46,3.4,10.1,6.4,0.13,0.08,0.06,4.5,463.1,-462.2,-15.5,-22.0
2017-10-01 02:01:00,,,,,,,,,,,,,
2017-10-01 02:02:00,,,,,,,,,,,,,
2017-10-01 02:03:00,,,,,,,,,,,,,
2017-10-01 02:04:00,,,,,,,,,,,,,
2017-10-01 02:05:00,-3.06,-1.76,3.43,9.5,6.4,0.16,0.09,0.07,4.28,463.4,-462.3,-13.1,-28.6
2017-10-01 02:06:00,,,,,,,,,,,,,
2017-10-01 02:07:00,,,,,,,,,,,,,
2017-10-01 02:08:00,,,,,,,,,,,,,
