,N_p,V_p,V_He,NS_angle,Vth_p
2017-10-06 00:00:00,3.605,434.0,447.0,-1.05,35.5
2017-10-06 00:01:00,3.825,431.5,444.0,-0.9,35.0
2017-10-06 00:02:00,3.6799998,436.0,449.0,-1.25,35.5
2017-10-06 00:03:00,4.115,436.5,448.5,-0.95,34.0
2017-10-06 00:04:00,5.8450003,411.0,425.0,-1.45,37.0
2017-10-06 00:05:00,4.2349997,430.5,444.5,-1.15,36.0
2017-10-06 00:06:00,4.8199997,421.0,432.5,-3.15,34.0
2017-10-06 00:07:00,4.1499996,427.5,439.0,-2.05,34.0
2017-10-06 00:08:00,3.5549998,432.5,445.0,-1.8499999,34.0
2017-10-06 00:09:00,3.8600001,428.5,442.0,-1.35,35.5
2017-10-06 00:10:00,3.94,434.5,447.5,-1.8,35.0
2017-10-06 00:11:00,3.35,427.0,442.0,-1.65,37.0
2017-10-06 00:12:00,4.27,419.0,433.0,-1.55,36.0
2017-10-06 00:13:00,3.96,422.5,437.0,-0.75,37.0
2017-10-06 00:14:00,5.26,416.0,430.5,-0.6,36.0
2017-10-06 00:15:00,5.8,402.0,418.0,-0.6,39.0
2017-10-06 00:16:00,6.05,404.0,419.5,-0.7,38.5
2017-10-06 00:17:00,5.335,406.0,422.0,-0.95,38.0
2017-10-06 00:18:00,6.315,400.5,415.0,-0.70000005,38.0
2017-10-06 00:19:00,6.0150003,403.0,418.0,-1.25,38.0
2017-10-06 00:20:00,6.45,400.5,415.0,-1.5,37.5
2017-10-06 00:21:00,5.015,420.0,436.5,-0.35,39.5
2017-10-06 00:22:00,3.005,438.5,457.0,0.1,40.5
2017-10-06 00:23:00,4.535,421.0,437.5,-0.5,39.0
2017-10-06 00:24:00,6.21,407.0,421.5,-1.55,38.0
2017-10-06 00:25:00,6.505,407.0,421.5,-1.8499999,37.0
2017-10-06 00:26:00,6.5950003,398.5,412.0,-1.5999999,36.5
2017-10-06 00:27:00,6.685,398.5,412.0,-1.1500001,36.0
2017-10-06 00:28:00,7.13,398.5,411.0,-1.5,35.5
2017-10-06 00:29:00,7.88,399.5,412.0,-3.0500002,35.5
2017-10-06 00:30:00,7.1949997,398.0,410.0,-1.6500001,35.0
2017-10-06 00:31:00,7.4700003,398.5,411.0,-2.45,35.5
2017-10-06 00:32:00,7.5550003,401.0,414.5,-2.6999998,36.0
2017-10-06 00:33:00,7.44,403.0,416.0,-2.9,36.0
2017-10-06 00:34:00,7.9750004,400.5,413.0,-2.95,36.0
2017-10-06 00:35:00,8.095,402.0,415.0,-3.1,36.0
2017-10-06 00:36:00,7.96,406.5,419.0,-3.15,35.5
2017-10-06 00:37:00,7.165,399.5,413.5,-1.15,37.0
2017-10-06 00:38:00,6.41,405.5,420.0,-1.4,37.0
2017-10-06 00:39:00,6.425,403.0,418.0,-1.3,38.0
2017-10-06 00:40:00,5.025,409.0,426.5,0.1,40.0
2017-10-06 00:41:00,6.025,405.0,420.5,-0.9,39.0
2017-10-06 00:42:00,6.615,405.5,420.0,-1.25,37.5
2017-10-06 00:43:00,6.935,407.5,421.5,-2.85,37.0
2017-10-06 00:44:00,6.08,404.0,420.0,-1.05,38.5
